text,tone
"В. Куйбышев. Итоги двух лет пятилетки (Сообщение, данное заместителем председателя Совнаркома СССР и председателем Госплана СССР тов. В. Куйбышевым американскому телеграфному агентству «Ассошиэйтед пресс») К 1 октября закончен второй год пятилетки, — той самой пятилетки, которая взволновала умы всего мира, по поводу которой на страницах прессы всего мира велась и ведется до сих пор ожесточеннейшая дискуссия. Кто не помнит утверждений, выдвигавшихся крупнейшими буржуазными экономистами и политиками, что проектировки пятилетнего плана нереальны, утопичны, фантастичны. Кто не помнит заявлений, что проектировка пятилетнего плана — очередной большевистский бред. [В. Куйбышев. Итоги двух лет пятилетки (1930) // «Известия», 04.12.1930]",2
"неизвестный. Вести Ростов-на-Дону, 20 мая. Девица Приворова, брошенная возлюбленным молоденьким музыкантом Овсянниковым, в ресторане городского сада залила лицо последнего серной кислотой, а сама отравилась. *** Нахичевань, 20 мая. Черкасский мировой суд за избиение на улице девицы Аннаджиевой приговорил городского голову Балабанова к двухнедельному аресту. [Вести (03.06.1904) // «Новое время», 1904]",2
"-Петербургского телеграфного агентства». Убийства, нападения, грабежи Благовещенск, 22, XII. В два часа дня на лестнице вестибюля Сибирского торгового банка тремя злоумышленниками совершено вооруженное нападение на кассира торгового дома Чурин и Ко, возвращавшегося из банка после сдачи денег. Кассир ранен из «браунинга». Из преследуемых уличной толпой злоумышленников двое задержаны, третий скрылся. Толпа, пытаясь расправиться самосудом, сильно избила одного. [От «С.-Петербургского телеграфного агентства». Убийства, нападения, грабежи (05.01.1908) // «Русское слово», 1908]",2
"9 апреля. Среда. М. приехал с о. Даманского. Порассказал, как мы были готовы к этой войне. Не знали, куда себя деть. Один боекомплект на заставах, ребята с трупов своих товарищей собирали патроны, башни танков позаклинило, а пузатые генералы, налетевшие на ордена, требуют с подполковника, только что вылезшего из 18-часового боя: «Вы бы хоть побрились!» В литературе... собрались Г. Марков, Косолапов, Воронков, Озеров и вчетвером решили вывести из редсовета «Роман-газеты» Горбачева, Федорова, Сартакова и т.п., а ввести Березко, Бондарева, Бакланова, Нилина, Мальцева, Рыбакова. Все дерьмо, что за 10 — 15 лет накопилось — поплывет. [В. А. Чивилихин. Дневники, письма (1969)]",2
"Взрыв в Архангельске. От морского главного штаба. Морской главный штаб сообщает, что в час пополудни 26-го сено октября: в Архангельске произошел взрыв на пароходе «Барон Дризен», имевшем грузы боевых припасов и стоявшем у пристани Бакарицы. От взрыва рухнули некоторые из соседних жилых бараков, и начался пожар построек и части находившегося на берету груза, при чем было разрушено пожарное депо, и погиб обоз вместе с командой. Несмотря на это, пожар, благодаря энергично принятым мерам, удалось прекратить к вечеру того же дня. Во время катастрофы погиб пароход «Барон Дризен», и поврежден стоявший рядом другой пароход «Эрл-оф-Фарфор». Броме того, были повреждены некоторые портовые средства. [Взрыв в Архангельске (12.11.1916) // газета «Русское слово», 1916]",2
"WWW.SELNOV.RU SN@SELNOV.RU Существуют ли в период летних каникул льготы по проезду на железнодорожном транспорте для студентов-северян, обучающихся за пределами Крайнего Севера? «Мы живем на Севере 30 лет. 1 раз в 2 года нам положен бесплатный проезд, например на меня и на одного члена семьи до исполнения совершеннолетия. Мой сын — студент Самарского университета, и ему уже больше 18 лет. Летом он хочет приехать домой, но на билет туда и обратно нужно очень много денег. Может быть, в летние каникулы для студентов из числа северян законом предусмотрены льготы на проезд до места постоянного проживания и обратно?» Катранжи Е.И. Камчатская область [Правовая «неотложка» (2003) // «Сельская новь», 16.12.2003]",0
"Залитый солнцем ялтинский пляж. Июль 1981 года выдался, как всегда, безоблачным и теплым. На ярко-желтом надувном матраце с черными рыбками по всему полю весело плещется в бирюзовой воде моря пятилетняя Таня. Родители девочки только что искупались и, судя по разговору, собираются в город. «У мамы сегодня день рождения, — выдает мне семейный секрет словоохотливая Таня, — она хочет сделать красивую прическу. А папа едет за цветами. К вечеру они вернутся, и мы пойдем в кафе-мороженое». [Виталий 3асеев. Солнце, воздух, вода… // «Огонек», 1981]",1
"Н. Дьяконов (?). Производство в офицеры в 1858 году Школа гвардейских подпрапорщиков и юнкеров. 1858 год В мае месяце 1858 года воспитанники военно-учебных заведений готовились к царскому смотру, образуя из себя отряд, командование которым было вверено директору 2-го кадетского корпуса генералу Степанову. Отряд состоял из 6 батальонов, батареи Михайловского артиллерийского училища и эскадрона Школы кавалерийских юнкеров. [Н. Дьяконов (?). Производство в офицеры в 1858 году (1909)]",0
"О рассуждениях (*) (*) Из того же журнала. Под именем Рассуждения мы разумеем такое отдельное сочинение, в котором тщательно рассматривается одна какая-нибудь часть художества изящного, или просто искусства, или же науки. Если кто по одному предмету написал столько рассуждений, сколько находится в оном частей главных; если каждое из упомянутых рассуждений имеет величину, соответствующую своему содержанию, и если на конец все они соединены между собою связью хорошей методы: тогда в сочинении находим полный трактат о науке или об искусстве. Таким образом каждая глава у Локка, в книге О разуме человеческом, или у Шарона, в книге О нравственности, может почитаться за рассуждение. Предметом рассуждения может быть одно искусство, одна из добродетелей, одно из преступлений, одна часть законодательства, один червь, мотылек, травка; но, поднося как бы под микроскоп вещь одну и притом очень малую, мы должны обозреть ее со всех сторон, и тщательно заметить все ее части. [S. A.. О рассуждениях // «Вестник Европы», 1825]",0
"Эдуард Володарский, Владимир Досталь, Николай Досталь Штрафбат. 2004 г. Негативные явления, происходящие сейчас в России, не обошли и средства массовой информации, в том числе телевидение. Здесь прослеживается характерная тенденция: на фоне качественного роста технических возможностей съемки и монтажа, насыщения картин спецэффектами и т.п. наблюдается резкое падение уровня конечной продукции. Редкие исключения лишь подтверждают печальное правило. Основными причинами этого представляется отсутствие серьезного контроля за качеством фильмов, сериалов и программ, в том числе исторической тематики. [C. Прищепа, Г. Плоткин. Рецензия // «Сержант», 2005]",2
"Cеманов С. Н. Дневник 1 — 31 января. Переделкино. — В Закавказье — ужас, но хуже всего, что правители не имеют никаких политических предложений, а только уговаривать или вводить военных. Мера последняя крайне плоха: почему там гибнут наши дети, за что?! И верно: армяне и турки подрались, пусть сами и разбираются, тем паче никто там не просит русских войск. А надо — вообще отделить Закавказье, передав его в ООН, а прежде всего — вывести войска, включая и пограничников. [С. Н. Cеманов. Дневник (1990) // Дневник 1990 года // НЛО. 2007, №84., 2004]",2
"Император Александр I. Манифест о присоединении Финляндии. 5 (17) июня 1808 года Божиею милостью, Мы Александр первый Император и Самодержец Всероссийский, и проч., и проч., и проч. Нам верноподданным обывателям новоприсоединенной Финляндии всякого чина и состояния. По непреложным судьбам Вышнего, благословляющего оружие Наше, присоединив навсегда Финляндию к России, с удовольствием Мы зрели торжественные обеты, обывателями сего края принесенные на верное и вечное их Скипетру Российскому подданство. Вместе с сим восприяли Мы на себя священную обязанность хранить сие достояние, промыслом Нами врученное, во всей его незыблемости и в непременном и вечном с Россиею единстве. [Александр I. Манифест о присоединении Финляндии (1808)]",0
"Moлoтов В.М.. Речь тов. В.М. Moлoтова об образовании правительства СССР (Когда председательствующий предоставляет слово товарищу Молотову. все присутствующие в зале встают, бурно аплодируют. Аплодисменты переходят в овацию, овация длится несколько минут. Несутся возгласы с мест: «Ближайшему соратнику товарища Сталина — товарищу Молотову — Ура!». Бурные аплодисменты, возгласы «Ура!»). Товарищи депутаты! [В. М. Moлoтов. Речь тов. В. М. Moлoтова об образовании правительства СССР (20.01.1938) // «Советское искусство» Орган Всесоюзного комитета по делам Искусств при Совнаркоме Союза ССР № 7 (413), 1938]",1
"Xаликов А.. Галиаскар Камал. К 60-летию со дня рождения На днях общественность Татарской АССР отмечала шестидесятилетие со дня рождения выдающегося писателя-драматурга Галиаскара Камала Татарский народ глубоко чтит память умершего в 1933 году Галиаскара Камала, так много сделавшего для развития татарской культуры. Его по праву называют отцом татарской драматургии. Нет татарского театра или самодеятельного драматического кружка, не ставившего драм, комедий или инсценировок Г. Камала. Его пьесы, остро высмеивающие капиталистическое общество, шарлатанство и ханжество реакционного духовенства и в то же время славящие благородство, мужество, ум человека, до сих пор не сходят со сцены. [А. Xаликов. Галиаскар Камал. К 60-летию со дня рождения (20.01.1939) // «Советское искусство». № 10 (590), 1939]",1
"Чичерин A.Н.|Сельвинский Э.Л.. Клятвенная конструкция конструктивистов-поэтов Человеку свойственно развиваться — «духовно» расти. Рост его (жизненный опыт) кристаллизуется в зародыши индивидуальных творческих схем. Схемы эти объективируются (организуются) в том или ином материале потенциальным давлением (паром внутренним); значит: «содержание» человеков, естественное и различное, — толчок к материализации, материализация же зависит от объективных законов материала и произвола формовщика. Вот почему мы говорим только о «форме» из кусков скованных схем — кристаллов опыта-роста, — искусстве. Потенциальный схематический сгусток — эмбрион «содержания» — в силу основного закона человеческой психики — экономии сил, в каждом отдельном случае своего оформления требует себе соответствующих, и материалу, в котором организуется он, свойственных, закономерных приемов. [A. Н. Чичерин, И. Л. Сельвинский. Клятвенная конструкция конструктивистов-поэтов (1922-1923)]",0
"Здесь прослеживается характерная тенденция: на фоне качественного роста технических возможностей съемки и монтажа, насыщения картин спецэффектами и т.п. наблюдается резкое падение уровня конечной продукции. Редкие исключения лишь подтверждают печальное правило. Основными причинами этого представляется отсутствие серьезного контроля за качеством фильмов, сериалов и программ, в том числе исторической тематики. Яркой иллюстрацией к вышесказанному является сериал «Штрафбат», показанный в 2004 г. каналом «Россия». Привлечение к съемкам в фильме известных актеров и широкомасштабная рекламная кампания неизбежно должны были привести создателей сериала к профессиональному и коммерческому успеху. Надо сказать сразу, что эта задача была реализована — большинству зрителей игра актеров и сюжетная линия понравились. Однако многим, в том числе и авторам данной рецензии, просмотр не доставил никакого удовольствия, так как фильм — откровенная историко-героическая халтура с колоссальным количеством фактических ошибок. [C. Прищепа, Г. Плоткин. Рецензия // «Сержант», 2005]",2
"15 февраля. Ну, на приемной в Союз писателей я прошел тютелька в тютельку: + 18 — 4 ± 5, надо ведь 2/3, как при защите докторской. Из восьми шестерых завалили, в том числе два известных — Мих. Раскатов и Крейн, директор Пушкинского музея, за него очень хлопотали Алигер и Данин. Обо мне очень ловко доложил Кожинов, затем Данин зачитал отрывок из сборника о разрушителях Москвы (не очень удачно было), а потом защищал Татлина и меня бранил. Конец хороший, ибо иной породил бы непременно сплетни и пересуды. Ю. Чурбанов на прошлой неделе стал 1-м замом Щелокова. [С. Н. Cеманов. Дневник (1980) // Из нашей борьбы // Наш современник. 2004. №1., 2004]",2
"*** Оглядываясь назад, хотя не стоит оглядываться, иначе тень может исчезнуть или окаменеть, можно найти шатучий асфальт квадратного города и солнечную тень своих ботинок в выпадающем один раз в жизни воспоминании. А если двигаться спиною вперед — есть во многих городах такие люди, в том числе и в нашем, кажется, был, особенно на светофорах было это можно наблюдать, и не раз, — то можно увидеть бездонную тень Квадратного города. Для этого не обязательно прыгать в колодец двора, пытаясь вызубрить стихи Ходасевича. В Квадратном городе есть уголки, милые сердцу, о которых говорится, что в них действительно находится постоянство вчерашнего дня. Подождать, когда наступит вчера, поется в песне Тома Вейтса. Ты должен подождать, когда наступит вчера, а, глядь, оно и не уходило никогда со двора. [Виктор Iванiв. Петли шарфа // «Волга», 2013]",0
"Недавно мы отмечали событие в семье Андрюшиного дублера. Шутка ли, его маленькая Валюта подарила «Дублеру» первенца. Сбылась мечта наших молодоженов — у них родился сын. Весь день сияющие мать и отец принимали бесчисленные поздравления и подарки. Счастливый отец был на седьмом небе (ведь он космонавт!) и весело подтрунивал над своими женатыми друзьями. Получилось у него очень здорово: у Юрия — две дочери, у Паши — тоже дочка, даже некоторые наши преподаватели растят только дочек. Задор «Дублера» объяснялся очень просто. [K.. Дневник космонавта К. // Дневник космонавта К. Смена. № 868, Июль 1963]",1
"Десять тысяч литров с гектара В то время, когда казалось, будто нефти на Земле — моря разливанные, и в голову не приходило сеять или сажать что-либо растительное ради топлива. Ну разве (в какой-то мере) деревья. Но что такое дровяные печи по сравнению с прожорливыми aвтомобилями? Теперь иное дело, другой подход: сколько бы ни оставалось нефти в недрах, рано или поздно она иссякнет, а плоды, листья, початки и корнеплоды можно выращивать вновь и вновь, год за годом. Правда, нужна пахотная земля и нужен труд, но ничто не даете задаром... И вот уже в разных странах объявляются программы по замене хотя бы части бензина топливом растительного происхождения, обычно спиртом (этиловым или метиловым), полученным микробиологическим путем. [Г. Mapков. Десять тысяч литров с гектара // «Химия и жизнь», 1982]",0
"Как и ожидалось. Торжественный ввод в эксплуатацию набережной после ремонта в несколько сотен миллионов рублей из городского бюджета. Фото сделано 15 октября 2013 года. И самое удивительное — всем пофигу! Город чего-то бормочет про штрафные санкции. Как буд-то они когда-то с кого-то их взыскивали. Подрядчику, хоть ссы в глаза — все божья роса! Может хоть депутаты что-то скажут на очередной пленарке. Но никому не стыдно, вот что удивительно. [Андрей Агишев agishev. Записи в Живом Журнале // 2013]",2
"Газета «Вечерний противогаз» О деплойменте на винде В журнале у уважаемого vitus_wagner обсуждалась тема о некоторых возможностях администрирования винды, о которых мало известно. Что лично меня люто бешено бесед — это вопрос восстановления эталонных конфигураций. Например, у меня целые папки различных скриптов под винду, которые правят системные политики, реестр и т.п. Я трачу время на вынос этого дела в вид скриптов ради одной цели: чтобы я потом не приходя в сознание мог за 5 минут довести любую систему до нужного мне результата не прикасаясь к мыши и не делая безумных телодвижений. В винде с этим, я считаю, наибольшие проблемы. [belnetmon. Записи в Живом Журнале // 2013]",2
"Священник Константин Корепанов 1968. К вопросу о богословском содержании понятия «святость» в Священном Писании Ветхого Завета Каким образом в Ветхом Завете могли возникнуть такие высокие представления о Боге и человеке, и каким образом могли быть осуществлены заповеди, какой силой? Могла ли существовать ветхозаветная святость? Анализируя свидетельство о святости в контексте Книги Левит и соотнося это с новозаветными писаниями, автор приходит к выводу, что святость была доступна и ветхозаветному человеку, и ключевым понятием, которое объясняет эту возможность, является библейское понимание веры. [cвященник Константин Корепанов. К вопросу о богословском содержании понятия «святость» в Священном Писании Ветхого Завета // «Церковь богословие история», 2020]",0
"Пионеры горячо отнеслись к своему новому товарищу, накормили, одели, отмыли от грязи, провели беседу, в которой посвятили его в свою жизнь, в свои задачи. Безпризорный малыш, в свою очередь, поделился с пионерами рассказами о своей тяжелой жизни. Беспризорный неграмотен. Пионеры решили в короткое время обучить его грамоте, заняться его воспитанием. Хороший пример показали подольские пионеры!.. [А. А. Беспризорный ― Юный ленинец! // «Юные строители», 1924]",1
"Сев бригада должна провести в течение 15 дней. Рабочая программа разбита на три пятидневки. Установлены твердые нормы выработки и расценки. Так, двухлемешный плуг за день должен пахать не меньше 1,8 га, однолемешный — 1 га, бороньба — 1,75 га на борону. Колхозники бригады тов. Савенкова тщательно изучили и усвоили нормы и расценки. Они знают, кто на какой лошади и где будет работать. Лошади разбиты на группы и в соответствии с их силой закреплены часть к плугам, часть к сеялкам и часть к боронам. [С. А. Так надо работать (22.04.1931) // «Казакстанская правда», 1931]",0
"— Александр Архангельский Дискуссии о том, как учить детей литературе, идут не первый десяток лет. «Дети не читают и сидят с гаджетами», «нужно полностью изменить учебную программу», разговоры о вредных и полезных книгах и вообще месте чтения в нашей жизни. Писатель, телеведущий и литературный критик и автор школьного учебника по литературе Александр Архангельский считает, что современных книг в школе недопустимо мало, мы не используем новые технологии в обучении так, как это стоило бы сделать. О том, как заинтересовать детей и подростков чтением, о запрещенных книгах и пропаганде — в интервью «Правмиру». — Как сегодня люди читают? Мы помним знаменитую фразу «СССР — самая читающая страна в мире». [А. А. Архангельский, А. А. Данилова. В чем проблемы преподавания литературы в школе?-Александр Архангельский (2016.04) // 2016]",0
"В моих воспоминаниях я буду называть поэта по имени — Колей, как я его всегда называла. Будучи замужем за старшим братом поэта, Дмитрием Степановичем, я прожила в семье Гумилевых двенадцать лет. Жила я в дорогой мне семье моего мужа с моей свекровью Анной Ивановной Гумилевой, рожденной Львовой, с золовкой Александрой Степановной Гумилевой, по мужу Сверчковой, с ее детьми Колей и Марией и один год — с деверем, Степаном Яковлевичем Гумилевым. Мои воспоминания не являются литературным произведением, я просто хочу рассказать все, что знаю о поэте и его семье. Главное, конечно, о нем, о яркой, незаурядной и интересной личности, какой был Н. С. Гумилев. Впервые я познакомилась с поэтом в 1909 году. Я поехала с моим отцом в Царское Село представиться семье моего жениха. [А. А. Гумилева (Фрейганг). Николай Степанович Гумилев (1950-1956)]",0
"Ключевые слова: вера, сщмч. Серафим (Звездинский), церковно-государственные отношения, советская власть, гонения. Революционные события 1917 г. в России затронули все стороны жизни и повлекли за собой коренной переворот в отношениях между Церковью и государством. Советская власть всеми силами старалась развалить само устройство церковного управления, оказывая на него колоссальное давление и провоцируя внутрицерковные разногласия и расколы. Действительно, довоенное время отличалось церковно-политическими разногласиями между иерархами, столкновением разных подходов по отношению к советской власти, что привело в том числе и к появлению зарубежников, обновленцев, григорианцев и прочих. После смерти Патриарха Тихона в условиях арестов и ссылок появляются некоторые архиереи, которые на богослужениях перестают поминать митр. Сергия (Страгородского), назначенного Патриаршим местоблюстителем митр. [А. А. Денисов, диакон Александр Фартушняк. Подвиг веры священномученика Серафима (Звездинского) в эпоху гонений со стороны Советской власти // «Церковь богословие история», 2020]",0
"А. Беляков, А.Ф. Безуглов. Не нужно мстить погибшим За фактом Живые знают, что умрут, а мертвые ничего не знают, и уже нет им воздаяния, потому что и память о них предана забвению; и любовь их и ненависть их и ревность их уже исчезли, и нет им более части во веки ни в чем, что делается под солнцем. Екклезиаст, 9: 5 — 6. «...В Москве создан Международный неправительственный благотворительный фонд «Вечная память солдатам», целью которого является оказание помощи всем страждущим участникам второй мировой войны, сооружение памятных мемориалов всем погибшим на территории СССР и других стран солдатам, увековечивание их имен, преодоление идеологических и политических последствий второй мировой войны. [А. Беляков, А. Ф. Безуглов. Не нужно мстить погибшим // «Пульс», 1990]",0
"Бобович А., Короткова З. О чём рассказывает банкнота В январском номере журнала за 2008 год рассказано об изображениях на самой крупной — пятитысячной рублёвой денежной купюре. Следующая купюра, тысячерублёвая, знакомит нас с Ярославлем, городом, который в 2010 году отметит 1000-летие. Основал город ростовский князь Ярослав, прозванный впоследствии Мудрым. По преданию, он пришёл со своей дружиной к месту впадения реки Которосль в Волгу и встретился с медведем, считавшимся у местных жителей священным. [А. Бобович, З. Короткова. О чём рассказывает банкнота // «Наука и жизнь», 2008]",0
"Вот мы и решили встретиться с нашими добрыми знакомыми в нестадионной обстановке. 1 Игорь Тер-Ованесян: — Пространство я научился побеждать, время — нет. Вот почему не всегда удается похозяйничать дома. А жаль! Люблю сходить на рынок, а то и самому приготовить обед. Правда, сварить вкусный суп не всегда удается с первой попытки, но ведь и в прыжках в длину не всегда с первой попытки приходит победа. [А. Бочинин, А. Колодный. Не спортом единым... // «Огонек». № 1, 1970]",1
"И.Е. Тамм в дневниках и письмах к Наталии Васильевне Игорь Евгеньевич утверждал, что формирование личности, мировосприятия и убеждений завершается очень рано. По его мнению, черты характера, моральные качества и основные интересы могут эволюционировать лишь в слабой степени, а главные, определяющие черты личности, раз сложившись, остаются неизменными в течение всей жизни. Безусловно, это утверждение было основано на осмыслении им собственной жизни. [А. В. Бялко, Н. В. Успенская. И. Е. Тамм в дневниках и письмах к Наталии Васильевне (1997)]",0
"В весьма недалёком будущем вода может стать предметом экспорта даже более ценным, чем нефть и газ в настоящее время. По прогнозам, к 2050 году около 2 млрд человек в 48 странах мира будут испытывать в ней острый недостаток. В 46 странах мира уже сейчас обеспеченность водой опустилась ниже критического уровня. И в нашей совсем не бедной стране качество и количество доступной человеку пресной воды неуклонно снижаются. Особенную же тревогу вызывает предполагаемое в ближайшее время изменение требований к её качеству в соответствии с Федеральным законом «О техническом регулировании». На вопросы редакции отвечает директор НИИ коммунального водоснабжения и очистки воды (НИИ КВОВ) Артём Вячеславович Гнипов. Беседу ведёт корреспондент журнала «Наука и жизнь» Максим Речмедин. [А. В. Гнипов, М. Речмедин. Питьевая вода? // «Наука и жизнь», 2009]",2
"Перекликаясь с этими давно минувшими днями, сталинградские тракторостроители взволнованно выразили на общем собрании патриотические чувства всех трудящихся следующими словами: «Двадцать лет назад в Сталинграде началось сооружение первенца сталинских пятилеток, вашего тракторного завода. Тогда вся страна к вам пришла на помощь. Благодаря этой всенародной поддержке, завод был построен в невиданно короткие сроки. Теперь мы, тракторозаводцы, считаем своим долгом, делом чести помочь строителям Сталинградской гидроэлектростанции». Во всех концах нашей страны люди считают своим долгом участвовать во всенародном движении за скорейший пуск энергетических гигантов, за досрочный ввод в эксплуатацию крупнейших в мире каналов, обводнительных и оросительных систем. Представители самых различных отраслей народного хозяйства — шахтеры, машиностроители, металлурги, нефтяники — едины в благородном стремлении внести достойный вклад в дело строительства коммунизма. [А. Дородников, Л. Сергеев. Для великих строек // «Техника - молодежи», 1951]",1
"Дубровский А., Константинов И.. «Главное — чтобы костюмчик сидел» В феврале 1953 года на завод № 918 в подмосковном Томилине поступил необычный заказ — изготовить скафандр и катапультирующуюся тележку для... собачек. Завод был организован в конце 1952 года на базе одного из корпусов Центрального склада Министерства авиационной промышленности и имел опытное конструкторское бюро и научно-исследовательский отдел. Там должны были заниматься разработкой и изготовлением высотных скафандров для пилотов реактивных истребителей и бомбардировщиков. Ныне это предприятие известно во всем мире под названием «НПП Звезда». [А. Дубровский, И. Константинов. «Главное — чтобы костюмчик сидел» // «Наука и жизнь», 2006]",0
"А. Жилина, А. Плешаков. Кто хозяин водоемов? Печать, телевизионные передачи, письма читателей вновь и вновь сообщают о многочисленных фактах нерадивого, хищнического отношения к природным богатствам страны, в частности к рекам, прудам, озерам, водохранилищам. Обычным стал также ведомственный подход к регулированию общественных отношений в любительском рыболовстве: игнорирование интересов миллионов рыболовов, необоснованные запреты, противоречащие друг другу установления, предписания, не имеющие под собой законной почвы. Журнал «Рыболов» в своих публикациях постоянно возвращается к этой теме. Анализ полученных редакцией критических материалов показывает, что читатели ждут ответов прежде всего на практические вопросы. [А. Жилина, А. Плешаков. Кто хозяин водоемов? // «Рыболов», 1990]",0
